combustible,transmision_automatica,transmision_automatica_secuencial,transmision_mecanica,anio,precio,kilometraje
1.0,1.0,0.0,0.0,2.024,3.69,0.45122
0.0,1.0,0.0,0.0,2.022,2.49,0.23167
0.0,1.0,0.0,0.0,2.024,2.49,0.44445
0.0,0.0,1.0,0.0,2.013,3.9,0.64
0.0,0.0,1.0,0.0,2.016,2.19,0.69711
1.0,1.0,0.0,0.0,2.026,4.49,0.06368
0.0,0.0,1.0,0.0,2.02,2.39,0.56062
0.0,1.0,0.0,0.0,2.025,2.449,0.103
0.0,1.0,0.0,0.0,2.017,2.89,0.71056
0.0,1.0,0.0,0.0,2.023,2.05,0.162
0.0,1.0,0.0,0.0,2.017,1.39,0.93595
0.0,1.0,0.0,0.0,2.022,4.3,0.27955
0.0,1.0,0.0,0.0,2.024,2.35,0.24277
0.0,1.0,0.0,0.0,2.02,2.59,0.51856
0.0,1.0,0.0,0.0,2.019,3.19,0.82387
1.0,0.0,1.0,0.0,2.015,2.65,1.15849
0.0,1.0,0.0,0.0,2.018,1.89,0.81127
0.0,0.0,1.0,0.0,2.02,3.45,0.35265
0.0,1.0,0.0,0.0,2.019,1.89,0.675
0.0,0.0,0.0,1.0,2.023,1.199,0.30537
0.0,1.0,0.0,0.0,2.025,2.499,0.14797
1.0,1.0,0.0,0.0,2.023,3.999,0.11359
1.0,0.0,1.0,0.0,2.019,3.65,1.09259
0.0,1.0,0.0,0.0,2.022,3.1,0.44229
0.0,1.0,0.0,0.0,2.018,1.99,0.83
0.0,1.0,0.0,0.0,2.016,1.99,0.85922
0.0,0.0,1.0,0.0,2.022,3.69,0.3
0.0,0.0,1.0,0.0,2.023,4.19,0.52
0.0,1.0,0.0,0.0,2.019,2.099,0.68
0.0,1.0,0.0,0.0,2.024,4.2,0.4914
0.0,0.0,0.0,1.0,2.018,0.99,0.91
0.0,0.0,0.0,1.0,2.024,1.39,0.166
0.0,1.0,0.0,0.0,2.022,4.2,0.43661
0.0,1.0,0.0,0.0,2.016,1.49,0.99185
0.0,0.0,1.0,0.0,2.018,2.499,0.724
0.0,1.0,0.0,0.0,2.015,2.69,1.13
1.0,1.0,0.0,0.0,2.022,4.299,0.391
0.0,0.0,1.0,0.0,2.021,1.99,0.85
0.0,0.0,1.0,0.0,2.017,1.99,1.15756
0.0,0.0,1.0,0.0,2.018,3.99,0.6824
0.0,1.0,0.0,0.0,2.026,2.49,0.001
0.0,1.0,0.0,0.0,2.02,4.07,0.74871
0.0,1.0,0.0,0.0,2.018,1.88,0.73674
0.0,1.0,0.0,0.0,2.023,2.0,0.45473
0.0,1.0,0.0,0.0,2.021,4.49,0.45518
0.0,1.0,0.0,0.0,2.02,1.89,1.1135
0.0,1.0,0.0,0.0,2.017,1.89,0.87248
0.0,1.0,0.0,0.0,2.017,4.49,0.52
0.0,0.0,1.0,0.0,2.023,3.25,0.17592
0.0,1.0,0.0,0.0,2.024,2.029,0.138
0.0,1.0,0.0,0.0,2.018,2.749,0.648
0.0,0.0,1.0,0.0,2.019,3.49,0.89435
0.0,0.0,1.0,0.0,2.018,2.699,1.06804
0.0,0.0,1.0,0.0,2.02,2.09,0.76
0.0,0.0,1.0,0.0,2.022,3.699,0.0475
0.0,1.0,0.0,0.0,2.016,2.25,0.85783
0.0,1.0,0.0,0.0,2.02,2.99,0.36766
1.0,0.0,0.0,1.0,2.025,2.19,0.00321
0.0,0.0,1.0,0.0,2.022,2.79,0.77
0.0,1.0,0.0,0.0,2.024,4.5,0.155
