anio,precio,kilometraje,transmision,combustible
2022.0,24900.0,23167.0,Automática,Gasolina
2024.0,24900.0,44445.0,Automática,Gasolina
2013.0,39000.0,64000.0,Automática - Secuencial,Gasolina
2016.0,21900.0,69711.0,Automática - Secuencial,Gasolina
2026.0,44900.0,6368.0,Automática,Otros
2020.0,23900.0,56062.0,Automática - Secuencial,Gasolina
2025.0,24490.0,10300.0,Automática,Gasolina
2017.0,28900.0,71056.0,Automática,Gasolina
2023.0,20500.0,16200.0,Automática,Gasolina
2017.0,13900.0,93595.0,Automática,Gasolina
2022.0,43000.0,27955.0,Automática,Gasolina
2024.0,23500.0,24277.0,Automática,Gasolina
2020.0,25900.0,51856.0,Automática,Gasolina
2019.0,31900.0,82387.0,Automática,Gasolina
2015.0,26500.0,115849.0,Automática - Secuencial,Otros
2018.0,18900.0,81127.0,Automática,Gasolina
2020.0,34500.0,35265.0,Automática - Secuencial,Gasolina
2019.0,18900.0,67500.0,Automática,Gasolina
2023.0,11990.0,30537.0,Mecánica,Gasolina
2025.0,24990.0,14797.0,Automática,Gasolina
2023.0,39990.0,11359.0,Automática,Otros
2019.0,36500.0,109259.0,Automática - Secuencial,Otros
2022.0,31000.0,44229.0,Automática,Gasolina
2018.0,19900.0,83000.0,Automática,Gasolina
2016.0,19900.0,85922.0,Automática,Gasolina
2022.0,36900.0,30000.0,Automática - Secuencial,Gasolina
2023.0,41900.0,52000.0,Automática - Secuencial,Gasolina
2019.0,20990.0,68000.0,Automática,Gasolina
2024.0,42000.0,49140.0,Automática,Gasolina
2018.0,9900.0,91000.0,Mecánica,Gasolina
2024.0,13900.0,16600.0,Mecánica,Gasolina
2022.0,42000.0,43661.0,Automática,Gasolina
2016.0,14900.0,99185.0,Automática,Gasolina
2018.0,24990.0,72400.0,Automática - Secuencial,Gasolina
2015.0,26900.0,113000.0,Automática,Gasolina
2022.0,42990.0,39100.0,Automática,Otros
2021.0,19900.0,85000.0,Automática - Secuencial,Gasolina
2017.0,19900.0,115756.0,Automática - Secuencial,Gasolina
2018.0,39900.0,68240.0,Automática - Secuencial,Gasolina
2026.0,24900.0,100.0,Automática,Gasolina
2020.0,40700.0,74871.0,Automática,Gasolina
2018.0,18800.0,73674.0,Automática,Gasolina
2023.0,20000.0,45473.0,Automática,Gasolina
2021.0,44900.0,45518.0,Automática,Gasolina
2020.0,18900.0,111350.0,Automática,Gasolina
2017.0,18900.0,87248.0,Automática,Gasolina
2017.0,44900.0,52000.0,Automática,Gasolina
2023.0,32500.0,17592.0,Automática - Secuencial,Gasolina
2024.0,20290.0,13800.0,Automática,Gasolina
2018.0,27490.0,64800.0,Automática,Gasolina
