url_anuncio,imagen_auto,marca,titulo,anio,precio,kilometraje,transmision,combustible
https://neoauto.com/auto/seminuevo/audi-sq-5-2018-1868132,https://cdn.neoauto.com/elements/autos_usados/360x240/659946/659946_8357104.webp,Audi,Audi Sq 5 2018,2018,"US$43,990","41,500 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/mercedes-benz-gle-450-4-matic-2024-1869045,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_2644960.webp,Mercedes-Benz,Mercedes-Benz Gle 450 4 Matic 2024,2024,"US$84,900","16,600 km",Automática - Secuencial,Gasolina-Híbrido
https://neoauto.com/auto/seminuevo/honda-city-touring-2022-1867465,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_2148934.webp,Honda,Honda City Touring 2022,2022,"US$18,900","35,452 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/bmw-x5-2015-1865918,https://cdn.neoauto.com/elements/autos_usados/360x240/257099/257099_4512308.webp,BMW,Bmw X5 2015,2015,"US$35,900","45,300 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/mercedes-benz-gle-400-coupe-2017-1865234,https://cdn.neoauto.com/elements/autos_usados/360x240/463366/463366_6682478.webp,Mercedes-Benz,Mercedes-Benz Gle 400 Coupe 2017,2017,"US$49,990","25,500 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/toyota-4runner-trd-pro-2026-1868455,https://cdn.neoauto.com/elements/autos_usados/360x240/747531/747531_3786155.webp,Toyota,Toyota 4runner Trd Pro 2026,2026,"US$135,000",,Automática - Secuencial,Gasolina-Híbrido
https://neoauto.com/auto/seminuevo/bmw-318i-2017-1865412,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_7821753.webp,BMW,Bmw 318i 2017,2017,"US$18,900","61,984 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/jeep-grand-cherokee-laredo-2019-1798062,https://cdn.neoauto.com/elements/autos_usados/360x240/113873/113873_6466609.webp,Jeep,Jeep Grand Cherokee Laredo 2019,2019,"US$29,900","61,928 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/audi-q3-2021-1865277,https://cdn.neoauto.com/elements/autos_usados/360x240/118694/118694_3772540.webp,Audi,Audi Q3 2021,2021,"US$34,900","42,700 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/volkswagen-gol-2022-1866272,https://cdn.neoauto.com/elements/autos_usados/360x240/490916/490916_4554734.webp,Volkswagen,Volkswagen Gol 2022,2022,"US$13,900","31,600 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/mercedes-benz-glc-250-4matic-2018-1868762,https://cdn.neoauto.com/elements/autos_usados/360x240/746429/746429_4158985.webp,Mercedes-Benz,Mercedes Benz Glc 250 4matic 2018,2018,"US$29,990","53,700 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/volkswagen-gol-2018-1866769,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_6158410.webp,Volkswagen,Volkswagen Gol 2018,2018,"US$17,900","30,222 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/toyota-corolla-cross-2023-1869030,https://cdn.neoauto.com/elements/autos_usados/360x240/650434/650434_1333025.webp,Toyota,Toyota Corolla Cross 2023,2023,"US$22,000","25,303 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/volkswagen-jetta-2025-1867153,https://cdn.neoauto.com/elements/autos_usados/360x240/754271/754271_8785576.webp,Volkswagen,Volkswagen Jetta 2025,2025,"US$28,900","20,500 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/rolls-royce-ghost-2014-1785487,https://cdn.neoauto.com/elements/autos_usados/360x240/463366/463366_7280247.webp,Rolls-Royce,Rolls Royce Silver Shadow 2014,2014,"US$290,000","17,000 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/porsche-taycan-4-cross-turismo-2023-1868681,https://cdn.neoauto.com/elements/autos_usados/360x240/463366/463366_2372565.webp,Porsche,Porsche Taycan 4 Cross Turismo 2023,2023,"US$119,900","19,500 km",Automática - Secuencial,Eléctrico
https://neoauto.com/auto/seminuevo/volkswagen-t-cross-2021-1868768,https://cdn.neoauto.com/elements/autos_usados/360x240/490916/490916_4959378.webp,Volkswagen,Volkswagen T-Cross 2021,2021,"US$16,900","61,500 km",Mecánica,Gasolina
https://neoauto.com/auto/seminuevo/mitsubishi-l200-2022-1868844,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_5336899.webp,Mitsubishi,Mitsubishi L200 2022,2022,"US$22,900","34,300 km",Mecánica,Diesel
https://neoauto.com/auto/seminuevo/volkswagen-tiguan-allspace-2021-1867334,https://cdn.neoauto.com/elements/autos_usados/360x240/113873/113873_6379572.webp,Volkswagen,Volkswagen Tiguan Allspace 2021,2021,"US$27,900","63,282 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/mazda-cx-60-2024-1846235,https://cdn.neoauto.com/elements/autos_usados/360x240/734431/734431_1461636.webp,Mazda,Mazda Cx-60 2024,2024,"US$47,000","2,800 km",Automática,Gasolina-Híbrido
https://neoauto.com/auto/seminuevo/mitsubishi-montero-sport-2017-1864639,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_3380912.webp,Mitsubishi,Mitsubishi Montero Sport 2017,2017,"US$24,900","92,439 km",Automática,Gasolina
